Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
4361.01,855,69,18.75
4366.08,817,63,18.75
4371.16,787,58,18.75
4376.23,802,61,18.75
4381.30,774,56,18.75
4386.37,787,58,18.75
4391.44,749,53,18.29
4396.51,719,48,18.29
4401.59,728,49,18.75
4406.66,728,49,18.29
4411.73,711,47,18.29
4416.80,700,45,18.29
4421.87,817,63,18.29
4426.94,915,78,18.29
4432.02,830,65,18.29
4437.09,1172,117,18.29
4442.16,821,64,18.29
4447.23,846,67,18.29
4452.30,821,64,18.29
4457.37,780,57,18.29
4462.44,754,53,18.29
4467.52,741,51,18.29
4472.59,754,53,18.29
4477.66,787,58,18.29
4482.73,735,51,18.29
4487.80,741,51,18.29
4492.88,719,48,18.29
4497.95,905,76,18.29
4503.02,1082,103,18.29
4508.09,780,57,18.29
4513.16,706,46,18.29
4518.23,696,45,18.29
4523.31,767,55,18.29
4528.38,970,86,18.75
4533.45,1045,98,18.75
4538.52,2033,248,18.75
4543.59,2882,378,18.75
4548.66,3209,427,19.10
4553.73,2812,367,19.10
4558.81,1489,165,19.10
4563.88,1126,110,19.10
4568.95,1013,93,19.10
4574.02,960,85,18.75
4579.09,915,78,18.75
4584.17,863,70,18.75
4589.24,855,69,18.75
4594.31,855,69,18.75
4599.38,821,64,18.75
4604.46,787,58,18.75
4609.53,774,56,18.75
4614.60,780,57,18.75
4619.67,787,58,18.75
4624.74,1060,100,18.75
4629.81,1568,177,18.75
4634.88,1835,218,18.75
4639.96,1445,159,18.75
4645.03,1275,133,18.75
4650.10,1060,100,18.75
4655.17,1050,99,18.75
4660.24,930,80,18.75
4665.31,838,66,18.75
4670.38,821,64,18.75
4675.46,787,58,18.75
4680.53,767,55,18.75
4685.60,754,53,18.29
4690.67,735,51,18.29
4695.74,749,53,18.29
4700.81,719,48,18.29
4705.88,706,46,18.29
4710.96,711,47,18.29
4716.03,711,47,18.29
4721.10,728,49,18.29
4726.17,946,83,18.29
4731.24,2189,272,18.75
4736.32,2812,367,18.75
4741.39,2669,345,18.75
4746.46,1530,172,18.75
4751.53,1126,110,18.75
4756.60,1013,93,18.75
4761.67,1050,99,18.75
4766.74,1050,99,18.75
4771.81,1585,180,19.10
4776.89,2882,378,18.75
4781.96,2272,285,18.75
4787.03,2140,265,19.10
4792.10,3515,474,19.10
4797.17,2072,254,19.10
4802.24,1897,228,19.10
4807.31,1295,136,19.10
4812.38,1102,106,19.10
4817.45,1004,92,19.10
4822.52,921,79,18.75
4827.60,897,75,18.75
4832.67,863,70,18.75
4837.74,838,66,18.75
4842.81,802,61,18.75
4847.88,780,57,18.29
4852.96,774,56,18.29
4858.03,787,58,18.29
4863.10,763,55,18.29
4868.17,741,51,18.29
4873.24,763,55,17.95
4878.31,754,53,18.29
4883.38,711,47,18.29
4888.46,700,45,17.95
4893.53,711,47,17.95
4898.60,696,45,18.29
4903.67,700,45,18.29
4908.74,681,42,18.29
4913.81,696,45,17.95
4918.88,675,41,17.95
4923.95,669,40,17.95
4929.02,656,39,17.95
